Log file of circuit Portimao at 13/10/2022 23:56:51

Population: 200
Iterations: 10
Mutation: 0.9
Crossover: 0.6
PitStopTime: 00:22.000
Weather: 'Sunny'

[EA] Generation 1 - Bruteforce solution: 01:28:22.639 -> best overall: 01:42:44.636 - difference: 14:21.997 - valid strategies: 3.5% | threshold is 0.25 - Stuck Counter = 0/0
[EA] Generation 2 - Bruteforce solution: 01:28:22.639 -> best overall: 01:42:36.597 - difference: 14:13.958 - valid strategies: 17.0% | threshold is 0.25 - Stuck Counter = 0/0
[EA] Generation 3 - Bruteforce solution: 01:28:22.639 -> best overall: 01:41:38.360 - difference: 13:15.721 - valid strategies: 10.29% | threshold is 0.25 - Stuck Counter = 0/0
[EA] Generation 4 - Bruteforce solution: 01:28:22.639 -> best overall: 01:40:21.439 - difference: 11:58.800 - valid strategies: 2.0% | threshold is 0.25 - Stuck Counter = 0/0
[EA] Generation 5 - Bruteforce solution: 01:28:22.639 -> best overall: 01:40:21.439 - difference: 11:58.800 - valid strategies: 6.37% | threshold is 0.2 - Stuck Counter = 0/0
[EA] Generation 6 - Bruteforce solution: 01:28:22.639 -> best overall: 01:40:03.047 - difference: 11:40.408 - valid strategies: 3.5% | threshold is 0.25 - Stuck Counter = 0/0
[EA] Generation 7 - Bruteforce solution: 01:28:22.639 -> best overall: 01:39:39.199 - difference: 11:16.560 - valid strategies: 6.5% | threshold is 0.25 - Stuck Counter = 0/0
[EA] Generation 8 - Bruteforce solution: 01:28:22.639 -> best overall: 01:39:09.016 - difference: 10:46.377 - valid strategies: 10.5% | threshold is 0.25 - Stuck Counter = 0/0
[EA] Generation 9 - Bruteforce solution: 01:28:22.639 -> best overall: 01:38:30.823 - difference: 10:08.184 - valid strategies: 13.0% | threshold is 0.25 - Stuck Counter = 0/0
[EA] Generation 10 - Bruteforce solution: 01:28:22.639 -> best overall: 01:38:17.401 - difference: 09:54.762 - valid strategies: 10.0% | threshold is 0.25 - Stuck Counter = 0/0


Best Strategy fitness: 5897401
Best Strategy time: 01:38:17.401

 vs 

Bruteforce fitness: 5302639
Bruteforce time: 01:28:22.639


Lap 1: Rain 0% -> Compound 'Medium', TyresAge 0, Wear '0.0'% | '0.0'% | '0.0'% | '0.0'%, Fuel '111.59' Kg, PitStop 'No', Time '01:24.598' ms
Lap 2: Rain 0% -> Compound 'Soft', TyresAge 0, Wear '0.0'% | '0.0'% | '0.0'% | '0.0'%, Fuel '110.0' Kg, PitStop 'Yes', Time '01:44.143' ms
Lap 3: Rain 0% -> Compound 'Soft', TyresAge 1, Wear '2.0'% | '2.0'% | '2.0'% | '2.0'%, Fuel '108.41' Kg, PitStop 'No', Time '01:22.097' ms
Lap 4: Rain 0% -> Compound 'Soft', TyresAge 2, Wear '4.0'% | '3.0'% | '4.0'% | '3.0'%, Fuel '106.82' Kg, PitStop 'No', Time '01:22.040' ms
Lap 5: Rain 0% -> Compound 'Soft', TyresAge 3, Wear '6.0'% | '5.0'% | '6.0'% | '5.0'%, Fuel '105.23' Kg, PitStop 'No', Time '01:21.993' ms
Lap 6: Rain 0% -> Compound 'Soft', TyresAge 4, Wear '9.0'% | '7.0'% | '7.0'% | '7.0'%, Fuel '103.64' Kg, PitStop 'No', Time '01:21.947' ms
Lap 7: Rain 0% -> Compound 'Soft', TyresAge 5, Wear '11.0'% | '8.0'% | '9.0'% | '8.0'%, Fuel '102.05' Kg, PitStop 'No', Time '01:21.891' ms
Lap 8: Rain 0% -> Compound 'Soft', TyresAge 6, Wear '13.0'% | '10.0'% | '11.0'% | '10.0'%, Fuel '100.46' Kg, PitStop 'No', Time '01:21.845' ms
Lap 9: Rain 0% -> Compound 'Hard', TyresAge 0, Wear '0.0'% | '0.0'% | '0.0'% | '0.0'%, Fuel '98.87' Kg, PitStop 'Yes', Time '01:45.042' ms
Lap 10: Rain 0% -> Compound 'Hard', TyresAge 1, Wear '1.0'% | '1.0'% | '1.0'% | '1.0'%, Fuel '97.28' Kg, PitStop 'No', Time '01:22.977' ms
Lap 11: Rain 0% -> Compound 'Hard', TyresAge 2, Wear '2.0'% | '2.0'% | '2.0'% | '2.0'%, Fuel '95.69' Kg, PitStop 'No', Time '01:22.911' ms
Lap 12: Rain 0% -> Compound 'Inter', TyresAge 0, Wear '0.0'% | '0.0'% | '0.0'% | '0.0'%, Fuel '94.1' Kg, PitStop 'Yes', Time '01:51.862' ms
Lap 13: Rain 0% -> Compound 'Inter', TyresAge 1, Wear '1.0'% | '0.0'% | '0.0'% | '0.0'%, Fuel '92.51' Kg, PitStop 'No', Time '01:29.827' ms
Lap 14: Rain 0% -> Compound 'Inter', TyresAge 2, Wear '1.0'% | '1.0'% | '1.0'% | '1.0'%, Fuel '90.92' Kg, PitStop 'No', Time '01:29.964' ms
Lap 15: Rain 0% -> Compound 'Inter', TyresAge 3, Wear '2.0'% | '1.0'% | '1.0'% | '1.0'%, Fuel '89.33' Kg, PitStop 'No', Time '01:29.929' ms
Lap 16: Rain 0% -> Compound 'Inter', TyresAge 4, Wear '2.0'% | '2.0'% | '2.0'% | '2.0'%, Fuel '87.74' Kg, PitStop 'No', Time '01:30.066' ms
Lap 17: Rain 0% -> Compound 'Soft', TyresAge 0, Wear '0.0'% | '0.0'% | '0.0'% | '0.0'%, Fuel '86.15' Kg, PitStop 'Yes', Time '01:42.808' ms
Lap 18: Rain 0% -> Compound 'Soft', TyresAge 1, Wear '2.0'% | '2.0'% | '2.0'% | '2.0'%, Fuel '84.56' Kg, PitStop 'No', Time '01:20.762' ms
Lap 19: Rain 0% -> Compound 'Soft', TyresAge 2, Wear '4.0'% | '3.0'% | '4.0'% | '3.0'%, Fuel '82.97' Kg, PitStop 'No', Time '01:20.705' ms
Lap 20: Rain 0% -> Compound 'Medium', TyresAge 0, Wear '0.0'% | '0.0'% | '0.0'% | '0.0'%, Fuel '81.38' Kg, PitStop 'Yes', Time '01:42.906' ms
Lap 21: Rain 0% -> Compound 'Hard', TyresAge 0, Wear '0.0'% | '0.0'% | '0.0'% | '0.0'%, Fuel '79.79' Kg, PitStop 'Yes', Time '01:43.974' ms
Lap 22: Rain 0% -> Compound 'Hard', TyresAge 1, Wear '1.0'% | '1.0'% | '1.0'% | '1.0'%, Fuel '78.2' Kg, PitStop 'No', Time '01:21.909' ms
Lap 23: Rain 0% -> Compound 'Medium', TyresAge 0, Wear '0.0'% | '0.0'% | '0.0'% | '0.0'%, Fuel '76.61' Kg, PitStop 'Yes', Time '01:42.639' ms
Lap 24: Rain 0% -> Compound 'Medium', TyresAge 1, Wear '2.0'% | '1.0'% | '1.0'% | '1.0'%, Fuel '75.02' Kg, PitStop 'No', Time '01:20.581' ms
Lap 25: Rain 0% -> Compound 'Inter', TyresAge 0, Wear '0.0'% | '0.0'% | '0.0'% | '0.0'%, Fuel '73.43' Kg, PitStop 'Yes', Time '01:50.705' ms
Lap 26: Rain 0% -> Compound 'Soft', TyresAge 0, Wear '0.0'% | '0.0'% | '0.0'% | '0.0'%, Fuel '71.84' Kg, PitStop 'Yes', Time '01:42.006' ms
