Log file of circuit Portimao at 14/10/2022 00:02:17

Population: 200
Iterations: 10
Mutation: 0.9
Crossover: 0.6
PitStopTime: 00:22.000
Weather: 'Sunny'

[EA] Generation 1 - Bruteforce solution: 01:28:22.639 -> best overall: 01:44:00.247 - difference: 15:37.608 - valid strategies: 2.5% | threshold is 0.25 - Stuck Counter = 0/0
[EA] Generation 2 - Bruteforce solution: 01:28:22.639 -> best overall: 01:43:02.913 - difference: 14:40.274 - valid strategies: 2.5% | threshold is 0.25 - Stuck Counter = 0/0
[EA] Generation 3 - Bruteforce solution: 01:28:22.639 -> best overall: 01:42:28.278 - difference: 14:05.639 - valid strategies: 7.0% | threshold is 0.25 - Stuck Counter = 0/0
[EA] Generation 4 - Bruteforce solution: 01:28:22.639 -> best overall: 01:42:04.799 - difference: 13:42.160 - valid strategies: 7.0% | threshold is 0.25 - Stuck Counter = 0/0
[EA] Generation 5 - Bruteforce solution: 01:28:22.639 -> best overall: 01:41:42.939 - difference: 13:20.300 - valid strategies: 9.5% | threshold is 0.25 - Stuck Counter = 0/0
[EA] Generation 6 - Bruteforce solution: 01:28:22.639 -> best overall: 01:41:31.158 - difference: 13:08.519 - valid strategies: 3.0% | threshold is 0.25 - Stuck Counter = 0/0
[EA] Generation 7 - Bruteforce solution: 01:28:22.639 -> best overall: 01:39:46.493 - difference: 11:23.854 - valid strategies: 3.5% | threshold is 0.25 - Stuck Counter = 0/0
[EA] Generation 8 - Bruteforce solution: 01:28:22.639 -> best overall: 01:39:17.430 - difference: 10:54.791 - valid strategies: 10.4% | threshold is 0.25 - Stuck Counter = 0/0
[EA] Generation 9 - Bruteforce solution: 01:28:22.639 -> best overall: 01:38:17.038 - difference: 09:54.399 - valid strategies: 11.0% | threshold is 0.25 - Stuck Counter = 0/0
[EA] Generation 10 - Bruteforce solution: 01:28:22.639 -> best overall: 01:37:56.712 - difference: 09:34.073 - valid strategies: 10.5% | threshold is 0.25 - Stuck Counter = 0/0


Best Strategy fitness: 5876712
Best Strategy time: 01:37:56.712

 vs 

Bruteforce fitness: 5302639
Bruteforce time: 01:28:22.639


Lap 1: Rain 0% -> Compound 'Medium', TyresAge 0, Wear '0.0'% | '0.0'% | '0.0'% | '0.0'%, Fuel '108.09' Kg, PitStop 'No', Time '01:24.500' ms
Lap 2: Rain 0% -> Compound 'Medium', TyresAge 1, Wear '2.0'% | '1.0'% | '1.0'% | '1.0'%, Fuel '106.5' Kg, PitStop 'No', Time '01:22.441' ms
Lap 3: Rain 0% -> Compound 'Inter', TyresAge 0, Wear '0.0'% | '0.0'% | '0.0'% | '0.0'%, Fuel '104.91' Kg, PitStop 'Yes', Time '01:52.565' ms
Lap 4: Rain 0% -> Compound 'Inter', TyresAge 1, Wear '1.0'% | '0.0'% | '0.0'% | '0.0'%, Fuel '103.32' Kg, PitStop 'No', Time '01:30.530' ms
Lap 5: Rain 0% -> Compound 'Inter', TyresAge 0, Wear '0.0'% | '0.0'% | '0.0'% | '0.0'%, Fuel '101.73' Kg, PitStop 'Yes', Time '01:52.387' ms
Lap 6: Rain 0% -> Compound 'Inter', TyresAge 1, Wear '1.0'% | '0.0'% | '0.0'% | '0.0'%, Fuel '100.14' Kg, PitStop 'No', Time '01:30.352' ms
Lap 7: Rain 0% -> Compound 'Inter', TyresAge 2, Wear '1.0'% | '1.0'% | '1.0'% | '1.0'%, Fuel '98.55' Kg, PitStop 'No', Time '01:30.489' ms
Lap 8: Rain 0% -> Compound 'Inter', TyresAge 3, Wear '2.0'% | '1.0'% | '1.0'% | '1.0'%, Fuel '96.96' Kg, PitStop 'No', Time '01:30.454' ms
Lap 9: Rain 0% -> Compound 'Medium', TyresAge 0, Wear '0.0'% | '0.0'% | '0.0'% | '0.0'%, Fuel '95.37' Kg, PitStop 'Yes', Time '01:43.787' ms
Lap 10: Rain 0% -> Compound 'Inter', TyresAge 0, Wear '0.0'% | '0.0'% | '0.0'% | '0.0'%, Fuel '93.78' Kg, PitStop 'Yes', Time '01:51.942' ms
Lap 11: Rain 0% -> Compound 'Inter', TyresAge 1, Wear '1.0'% | '0.0'% | '0.0'% | '0.0'%, Fuel '92.19' Kg, PitStop 'No', Time '01:29.907' ms
Lap 12: Rain 0% -> Compound 'Inter', TyresAge 2, Wear '1.0'% | '1.0'% | '1.0'% | '1.0'%, Fuel '90.6' Kg, PitStop 'No', Time '01:30.044' ms
Lap 13: Rain 0% -> Compound 'Soft', TyresAge 0, Wear '0.0'% | '0.0'% | '0.0'% | '0.0'%, Fuel '89.01' Kg, PitStop 'Yes', Time '01:43.066' ms
