Log file of circuit Portimao at 13/10/2022 23:41:00

Population: 200
Iterations: 10
Mutation: 0.9
Crossover: 0.6
PitStopTime: 00:22.000
Weather: 'Sunny'

[EA] Generation 1 - Bruteforce solution: 01:28:22.639 -> best overall: 01:44:09.175 - difference: 15:46.536 - valid strategies: 3.5% | threshold is 0.25 - Stuck Counter = 0/0
[EA] Generation 2 - Bruteforce solution: 01:28:22.639 -> best overall: 01:42:47.147 - difference: 14:24.508 - valid strategies: 6.9% | threshold is 0.25 - Stuck Counter = 0/0
[EA] Generation 3 - Bruteforce solution: 01:28:22.639 -> best overall: 01:42:17.120 - difference: 13:54.481 - valid strategies: 13.0% | threshold is 0.25 - Stuck Counter = 0/0
[EA] Generation 4 - Bruteforce solution: 01:28:22.639 -> best overall: 01:40:55.056 - difference: 12:32.417 - valid strategies: 14.0% | threshold is 0.25 - Stuck Counter = 0/0
[EA] Generation 5 - Bruteforce solution: 01:28:22.639 -> best overall: 01:40:34.693 - difference: 12:12.054 - valid strategies: 13.5% | threshold is 0.25 - Stuck Counter = 0/0
[EA] Generation 6 - Bruteforce solution: 01:28:22.639 -> best overall: 01:40:06.856 - difference: 11:44.217 - valid strategies: 3.41% | threshold is 0.25 - Stuck Counter = 0/0
[EA] Generation 7 - Bruteforce solution: 01:28:22.639 -> best overall: 01:39:36.673 - difference: 11:14.034 - valid strategies: 3.0% | threshold is 0.25 - Stuck Counter = 0/0
[EA] Generation 8 - Bruteforce solution: 01:28:22.639 -> best overall: 01:39:09.312 - difference: 10:46.673 - valid strategies: 2.5% | threshold is 0.25 - Stuck Counter = 0/0
[EA] Generation 9 - Bruteforce solution: 01:28:22.639 -> best overall: 01:38:58.262 - difference: 10:35.623 - valid strategies: 3.5% | threshold is 0.25 - Stuck Counter = 0/0
[EA] Generation 10 - Bruteforce solution: 01:28:22.639 -> best overall: 01:38:37.831 - difference: 10:15.192 - valid strategies: 3.41% | threshold is 0.25 - Stuck Counter = 0/0


Best Strategy fitness: 5917831
Best Strategy time: 01:38:37.831

 vs 

Bruteforce fitness: 5302639
Bruteforce time: 01:28:22.639


Lap 1: Rain 0% -> Compound 'Medium', TyresAge 0, Wear '0.0'% | '0.0'% | '0.0'% | '0.0'%, Fuel '112.4' Kg, PitStop 'No', Time '01:24.620' ms
Lap 2: Rain 0% -> Compound 'Inter', TyresAge 0, Wear '0.0'% | '0.0'% | '0.0'% | '0.0'%, Fuel '110.81' Kg, PitStop 'Yes', Time '01:52.775' ms
Lap 3: Rain 0% -> Compound 'Hard', TyresAge 0, Wear '0.0'% | '0.0'% | '0.0'% | '0.0'%, Fuel '109.22' Kg, PitStop 'Yes', Time '01:45.599' ms
Lap 4: Rain 0% -> Compound 'Hard', TyresAge 0, Wear '0.0'% | '0.0'% | '0.0'% | '0.0'%, Fuel '107.63' Kg, PitStop 'Yes', Time '01:45.510' ms
Lap 5: Rain 0% -> Compound 'Hard', TyresAge 1, Wear '1.0'% | '1.0'% | '1.0'% | '1.0'%, Fuel '106.04' Kg, PitStop 'No', Time '01:23.445' ms
Lap 6: Rain 0% -> Compound 'Hard', TyresAge 2, Wear '2.0'% | '2.0'% | '2.0'% | '2.0'%, Fuel '104.45' Kg, PitStop 'No', Time '01:23.379' ms
Lap 7: Rain 0% -> Compound 'Inter', TyresAge 0, Wear '0.0'% | '0.0'% | '0.0'% | '0.0'%, Fuel '102.86' Kg, PitStop 'Yes', Time '01:52.330' ms
Lap 8: Rain 0% -> Compound 'Inter', TyresAge 0, Wear '0.0'% | '0.0'% | '0.0'% | '0.0'%, Fuel '101.27' Kg, PitStop 'Yes', Time '01:52.241' ms
Lap 9: Rain 0% -> Compound 'Inter', TyresAge 1, Wear '1.0'% | '0.0'% | '0.0'% | '0.0'%, Fuel '99.68' Kg, PitStop 'No', Time '01:30.206' ms
Lap 10: Rain 0% -> Compound 'Inter', TyresAge 2, Wear '1.0'% | '1.0'% | '1.0'% | '1.0'%, Fuel '98.09' Kg, PitStop 'No', Time '01:30.343' ms
Lap 11: Rain 0% -> Compound 'Inter', TyresAge 0, Wear '0.0'% | '0.0'% | '0.0'% | '0.0'%, Fuel '96.5' Kg, PitStop 'Yes', Time '01:51.974' ms
Lap 12: Rain 0% -> Compound 'Inter', TyresAge 1, Wear '1.0'% | '0.0'% | '0.0'% | '0.0'%, Fuel '94.91' Kg, PitStop 'No', Time '01:29.939' ms
Lap 13: Rain 0% -> Compound 'Inter', TyresAge 2, Wear '1.0'% | '1.0'% | '1.0'% | '1.0'%, Fuel '93.32' Kg, PitStop 'No', Time '01:30.076' ms
Lap 14: Rain 0% -> Compound 'Medium', TyresAge 0, Wear '0.0'% | '0.0'% | '0.0'% | '0.0'%, Fuel '91.73' Kg, PitStop 'Yes', Time '01:43.463' ms
Lap 15: Rain 0% -> Compound 'Medium', TyresAge 1, Wear '2.0'% | '1.0'% | '1.0'% | '1.0'%, Fuel '90.14' Kg, PitStop 'No', Time '01:21.405' ms
Lap 16: Rain 0% -> Compound 'Medium', TyresAge 2, Wear '3.0'% | '2.0'% | '3.0'% | '2.0'%, Fuel '88.55' Kg, PitStop 'No', Time '01:21.346' ms
Lap 17: Rain 0% -> Compound 'Medium', TyresAge 3, Wear '5.0'% | '4.0'% | '4.0'% | '3.0'%, Fuel '86.96' Kg, PitStop 'No', Time '01:21.293' ms
Lap 18: Rain 0% -> Compound 'Medium', TyresAge 4, Wear '6.0'% | '5.0'% | '5.0'% | '5.0'%, Fuel '85.37' Kg, PitStop 'No', Time '01:21.234' ms
Lap 19: Rain 0% -> Compound 'Medium', TyresAge 5, Wear '8.0'% | '6.0'% | '7.0'% | '6.0'%, Fuel '83.78' Kg, PitStop 'No', Time '01:21.182' ms
Lap 20: Rain 0% -> Compound 'Medium', TyresAge 6, Wear '9.0'% | '7.0'% | '8.0'% | '7.0'%, Fuel '82.19' Kg, PitStop 'No', Time '01:21.117' ms
Lap 21: Rain 0% -> Compound 'Medium', TyresAge 7, Wear '11.0'% | '8.0'% | '9.0'% | '8.0'%, Fuel '80.6' Kg, PitStop 'No', Time '01:21.059' ms
Lap 22: Rain 0% -> Compound 'Medium', TyresAge 8, Wear '12.0'% | '10.0'% | '10.0'% | '9.0'%, Fuel '79.01' Kg, PitStop 'No', Time '01:21.001' ms
Lap 23: Rain 0% -> Compound 'Medium', TyresAge 0, Wear '0.0'% | '0.0'% | '0.0'% | '0.0'%, Fuel '77.42' Kg, PitStop 'Yes', Time '01:42.661' ms
Lap 24: Rain 0% -> Compound 'Medium', TyresAge 1, Wear '2.0'% | '1.0'% | '1.0'% | '1.0'%, Fuel '75.83' Kg, PitStop 'No', Time '01:20.603' ms
Lap 25: Rain 0% -> Compound 'Medium', TyresAge 2, Wear '3.0'% | '2.0'% | '3.0'% | '2.0'%, Fuel '74.24' Kg, PitStop 'No', Time '01:20.544' ms
Lap 26: Rain 0% -> Compound 'Medium', TyresAge 0, Wear '0.0'% | '0.0'% | '0.0'% | '0.0'%, Fuel '72.65' Kg, PitStop 'Yes', Time '01:42.394' ms
Lap 27: Rain 0% -> Compound 'Medium', TyresAge 1, Wear '2.0'% | '1.0'% | '1.0'% | '1.0'%, Fuel '71.06' Kg, PitStop 'No', Time '01:20.336' ms
Lap 28: Rain 0% -> Compound 'Medium', TyresAge 2, Wear '3.0'% | '2.0'% | '3.0'% | '2.0'%, Fuel '69.47' Kg, PitStop 'No', Time '01:20.277' ms
Lap 29: Rain 0% -> Compound 'Hard', TyresAge 0, Wear '0.0'% | '0.0'% | '0.0'% | '0.0'%, Fuel '67.88' Kg, PitStop 'Yes', Time '01:43.284' ms
Lap 30: Rain 0% -> Compound 'Inter', TyresAge 0, Wear '0.0'% | '0.0'% | '0.0'% | '0.0'%, Fuel '66.29' Kg, PitStop 'Yes', Time '01:50.282' ms
Lap 31: Rain 0% -> Compound 'Medium', TyresAge 0, Wear '0.0'% | '0.0'% | '0.0'% | '0.0'%, Fuel '64.7' Kg, PitStop 'Yes', Time '01:41.949' ms
Lap 32: Rain 0% -> Compound 'Medium', TyresAge 1, Wear '2.0'% | '1.0'% | '1.0'% | '1.0'%, Fuel '63.11' Kg, PitStop 'No', Time '01:19.891' ms
Lap 33: Rain 0% -> Compound 'Inter', TyresAge 0, Wear '0.0'% | '0.0'% | '0.0'% | '0.0'%, Fuel '61.52' Kg, PitStop 'Yes', Time '01:50.015' ms
Lap 34: Rain 0% -> Compound 'Soft', TyresAge 0, Wear '0.0'% | '0.0'% | '0.0'% | '0.0'%, Fuel '59.93' Kg, PitStop 'Yes', Time '01:41.317' ms
Lap 35: Rain 0% -> Compound 'Soft', TyresAge 1, Wear '2.0'% | '2.0'% | '2.0'% | '2.0'%, Fuel '58.34' Kg, PitStop 'No', Time '01:19.271' ms
Lap 36: Rain 0% -> Compound 'Soft', TyresAge 2, Wear '4.0'% | '3.0'% | '4.0'% | '3.0'%, Fuel '56.75' Kg, PitStop 'No', Time '01:19.214' ms
Lap 37: Rain 0% -> Compound 'Soft', TyresAge 3, Wear '6.0'% | '5.0'% | '6.0'% | '5.0'%, Fuel '55.16' Kg, PitStop 'No', Time '01:19.167' ms
Lap 38: Rain 0% -> Compound 'Soft', TyresAge 4, Wear '9.0'% | '7.0'% | '7.0'% | '7.0'%, Fuel '53.57' Kg, PitStop 'No', Time '01:19.121' ms
Lap 39: Rain 0% -> Compound 'Soft', TyresAge 0, Wear '0.0'% | '0.0'% | '0.0'% | '0.0'%, Fuel '51.98' Kg, PitStop 'Yes', Time '01:40.872' ms
Lap 40: Rain 0% -> Compound 'Soft', TyresAge 1, Wear '2.0'% | '2.0'% | '2.0'% | '2.0'%, Fuel '50.39' Kg, PitStop 'No', Time '01:18.826' ms
Lap 41: Rain 0% -> Compound 'Soft', TyresAge 2, Wear '4.0'% | '3.0'% | '4.0'% | '3.0'%, Fuel '48.8' Kg, PitStop 'No', Time '01:18.769' ms
Lap 42: Rain 0% -> Compound 'Hard', TyresAge 0, Wear '0.0'% | '0.0'% | '0.0'% | '0.0'%, Fuel '47.21' Kg, PitStop 'Yes', Time '01:42.126' ms
Lap 43: Rain 0% -> Compound 'Hard', TyresAge 1, Wear '1.0'% | '1.0'% | '1.0'% | '1.0'%, Fuel '45.62' Kg, PitStop 'No', Time '01:20.061' ms
Lap 44: Rain 0% -> Compound 'Hard', TyresAge 2, Wear '2.0'% | '2.0'% | '2.0'% | '2.0'%, Fuel '44.03' Kg, PitStop 'No', Time '01:19.995' ms
Lap 45: Rain 0% -> Compound 'Soft', TyresAge 0, Wear '0.0'% | '0.0'% | '0.0'% | '0.0'%, Fuel '42.44' Kg, PitStop 'Yes', Time '01:40.337' ms
Lap 46: Rain 0% -> Compound 'Soft', TyresAge 1, Wear '2.0'% | '2.0'% | '2.0'% | '2.0'%, Fuel '40.85' Kg, PitStop 'No', Time '01:18.291' ms
Lap 47: Rain 0% -> Compound 'Soft', TyresAge 2, Wear '4.0'% | '3.0'% | '4.0'% | '3.0'%, Fuel '39.26' Kg, PitStop 'No', Time '01:18.234' ms
Lap 48: Rain 0% -> Compound 'Soft', TyresAge 3, Wear '6.0'% | '5.0'% | '6.0'% | '5.0'%, Fuel '37.67' Kg, PitStop 'No', Time '01:18.187' ms
Lap 49: Rain 0% -> Compound 'Hard', TyresAge 0, Wear '0.0'% | '0.0'% | '0.0'% | '0.0'%, Fuel '36.08' Kg, PitStop 'Yes', Time '01:41.503' ms
Lap 50: Rain 0% -> Compound 'Hard', TyresAge 1, Wear '1.0'% | '1.0'% | '1.0'% | '1.0'%, Fuel '34.49' Kg, PitStop 'No', Time '01:19.438' ms
Lap 51: Rain 0% -> Compound 'Hard', TyresAge 2, Wear '2.0'% | '2.0'% | '2.0'% | '2.0'%, Fuel '32.9' Kg, PitStop 'No', Time '01:19.372' ms
