Log file of circuit Portimao at 13/10/2022 23:44:44

Population: 200
Iterations: 10
Mutation: 0.9
Crossover: 0.6
PitStopTime: 00:22.000
Weather: 'Sunny'

[EA] Generation 1 - Bruteforce solution: 01:28:22.639 -> best overall: 01:45:39.618 - difference: 17:16.979 - valid strategies: 6.97% | threshold is 0.25 - Stuck Counter = 0/0
[EA] Generation 2 - Bruteforce solution: 01:28:22.639 -> best overall: 01:44:51.209 - difference: 16:28.570 - valid strategies: 6.5% | threshold is 0.25 - Stuck Counter = 0/0
[EA] Generation 3 - Bruteforce solution: 01:28:22.639 -> best overall: 01:44:26.598 - difference: 16:03.959 - valid strategies: 6.9% | threshold is 0.25 - Stuck Counter = 0/0
[EA] Generation 4 - Bruteforce solution: 01:28:22.639 -> best overall: 01:43:29.249 - difference: 15:06.610 - valid strategies: 6.5% | threshold is 0.25 - Stuck Counter = 0/0
[EA] Generation 5 - Bruteforce solution: 01:28:22.639 -> best overall: 01:43:04.892 - difference: 14:42.253 - valid strategies: 3.5% | threshold is 0.25 - Stuck Counter = 0/0
[EA] Generation 6 - Bruteforce solution: 01:28:22.639 -> best overall: 01:42:50.457 - difference: 14:27.818 - valid strategies: 3.5% | threshold is 0.25 - Stuck Counter = 0/0
[EA] Generation 7 - Bruteforce solution: 01:28:22.639 -> best overall: 01:42:28.737 - difference: 14:06.098 - valid strategies: 3.5% | threshold is 0.25 - Stuck Counter = 0/0
[EA] Generation 8 - Bruteforce solution: 01:28:22.639 -> best overall: 01:41:39.244 - difference: 13:16.605 - valid strategies: 7.0% | threshold is 0.25 - Stuck Counter = 0/0
[EA] Generation 9 - Bruteforce solution: 01:28:22.639 -> best overall: 01:41:18.813 - difference: 12:56.174 - valid strategies: 3.5% | threshold is 0.25 - Stuck Counter = 0/0
[EA] Generation 10 - Bruteforce solution: 01:28:22.639 -> best overall: 01:41:16.193 - difference: 12:53.554 - valid strategies: 7.0% | threshold is 0.25 - Stuck Counter = 0/0


Best Strategy fitness: 6076193
Best Strategy time: 01:41:16.193

 vs 

Bruteforce fitness: 5302639
Bruteforce time: 01:28:22.639


Lap 1: Rain 0% -> Compound 'Medium', TyresAge 0, Wear '0.0'% | '0.0'% | '0.0'% | '0.0'%, Fuel '106.25' Kg, PitStop 'No', Time '01:24.448' ms
Lap 2: Rain 0% -> Compound 'Medium', TyresAge 1, Wear '2.0'% | '1.0'% | '1.0'% | '1.0'%, Fuel '104.66' Kg, PitStop 'No', Time '01:22.390' ms
Lap 3: Rain 0% -> Compound 'Medium', TyresAge 2, Wear '3.0'% | '2.0'% | '3.0'% | '2.0'%, Fuel '103.07' Kg, PitStop 'No', Time '01:22.331' ms
Lap 4: Rain 0% -> Compound 'Medium', TyresAge 3, Wear '5.0'% | '4.0'% | '4.0'% | '3.0'%, Fuel '101.48' Kg, PitStop 'No', Time '01:22.278' ms
Lap 5: Rain 0% -> Compound 'Medium', TyresAge 4, Wear '6.0'% | '5.0'% | '5.0'% | '5.0'%, Fuel '99.89' Kg, PitStop 'No', Time '01:22.220' ms
Lap 6: Rain 0% -> Compound 'Medium', TyresAge 5, Wear '8.0'% | '6.0'% | '7.0'% | '6.0'%, Fuel '98.3' Kg, PitStop 'No', Time '01:22.168' ms
Lap 7: Rain 0% -> Compound 'Medium', TyresAge 6, Wear '9.0'% | '7.0'% | '8.0'% | '7.0'%, Fuel '96.71' Kg, PitStop 'No', Time '01:22.103' ms
Lap 8: Rain 0% -> Compound 'Soft', TyresAge 0, Wear '0.0'% | '0.0'% | '0.0'% | '0.0'%, Fuel '95.12' Kg, PitStop 'Yes', Time '01:43.460' ms
Lap 9: Rain 0% -> Compound 'Soft', TyresAge 1, Wear '2.0'% | '2.0'% | '2.0'% | '2.0'%, Fuel '93.53' Kg, PitStop 'No', Time '01:21.414' ms
Lap 10: Rain 0% -> Compound 'Soft', TyresAge 2, Wear '4.0'% | '3.0'% | '4.0'% | '3.0'%, Fuel '91.94' Kg, PitStop 'No', Time '01:21.357' ms
Lap 11: Rain 0% -> Compound 'Soft', TyresAge 3, Wear '6.0'% | '5.0'% | '6.0'% | '5.0'%, Fuel '90.35' Kg, PitStop 'No', Time '01:21.310' ms
Lap 12: Rain 0% -> Compound 'Soft', TyresAge 4, Wear '9.0'% | '7.0'% | '7.0'% | '7.0'%, Fuel '88.76' Kg, PitStop 'No', Time '01:21.264' ms
Lap 13: Rain 0% -> Compound 'Wet', TyresAge 0, Wear '0.0'% | '0.0'% | '0.0'% | '0.0'%, Fuel '87.17' Kg, PitStop 'Yes', Time '02:10.969' ms
Lap 14: Rain 0% -> Compound 'Wet', TyresAge 1, Wear '1.0'% | '0.0'% | '0.0'% | '0.0'%, Fuel '85.58' Kg, PitStop 'No', Time '01:48.914' ms
Lap 15: Rain 0% -> Compound 'Medium', TyresAge 0, Wear '0.0'% | '0.0'% | '0.0'% | '0.0'%, Fuel '83.99' Kg, PitStop 'Yes', Time '01:43.201' ms
Lap 16: Rain 0% -> Compound 'Medium', TyresAge 1, Wear '2.0'% | '1.0'% | '1.0'% | '1.0'%, Fuel '82.4' Kg, PitStop 'No', Time '01:21.143' ms
Lap 17: Rain 0% -> Compound 'Medium', TyresAge 2, Wear '3.0'% | '2.0'% | '3.0'% | '2.0'%, Fuel '80.81' Kg, PitStop 'No', Time '01:21.084' ms
Lap 18: Rain 0% -> Compound 'Inter', TyresAge 0, Wear '0.0'% | '0.0'% | '0.0'% | '0.0'%, Fuel '79.22' Kg, PitStop 'Yes', Time '01:51.178' ms
Lap 19: Rain 0% -> Compound 'Inter', TyresAge 1, Wear '1.0'% | '0.0'% | '0.0'% | '0.0'%, Fuel '77.63' Kg, PitStop 'No', Time '01:29.143' ms
